0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating,Season Leaders - ESPN Rating
RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
1,"Russell Westbrook, PG",LAC,67,34.4,.426,.835,1.3,7.3,8.6,2.1,0.2,4.4,28.1,47.4
2,"Anthony Davis, PF",LAL,68,36.1,.535,.805,0.0,10.2,2.2,1.5,2.9,1.4,24.4,45.5
3,"James Harden, SG",LAC,81,36.8,.440,.868,2.6,5.7,7.0,1.9,0.7,4.0,27.4,45.2
4,"DeMarcus Cousins, C",DEN,59,34.1,.467,.782,0.0,12.7,3.6,1.5,1.7,4.3,24.1,43.6
5,"LeBron James, SF",LAL,69,36.1,.488,.710,1.7,6.0,7.4,1.6,0.7,3.9,25.3,43.4
6,"Stephen Curry, PG",GSW,80,32.7,.487,.914,3.6,4.3,7.7,2.0,0.2,3.1,23.8,42.7
7,"Kevin Durant, PF",PHO,27,33.8,.510,.854,2.4,6.6,4.1,0.9,0.9,2.7,25.4,41.8
8,"Chris Paul, PG",GSW,82,34.8,.485,.900,1.7,4.6,10.2,1.9,0.2,2.3,19.1,41.0
9,"Blake Griffin, PF",BOS,67,35.2,.502,.728,0.1,7.6,5.3,0.9,0.5,2.3,21.9,38.6
10,"LaMarcus Aldridge, C",BKN,71,35.4,.466,.845,0.5,10.2,1.7,0.7,1.0,1.7,23.4,38.3
RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
11,"Pau Gasol, PF",POR,78,34.4,.494,.803,0.2,11.8,2.7,0.3,1.9,2.0,18.5,37.2
12,"John Wall, PG",HOU,79,35.9,.445,.785,0.8,4.6,10.0,1.7,0.6,3.8,17.6,36.6
